"Country","Year","Number of under-five deaths (thousands)","Number of infant deaths (thousands)","Number of neonatal deaths (thousands)"
"Afghanistan","2016","80","60","46"
"Albania","2016","0","0","0"
"Algeria","2016","24","20","15"
"Andorra","2016","0","0","0"
"Angola","2016","96","65","35"
"Antigua and Barbuda","2016","0","0","0"
"Argentina","2016","8","7","5"
"Armenia","2016","1","0","0"
"Australia","2016","1","1","1"
"Austria","2016","0","0","0"
"Azerbaijan","2016","5","5","3"
"Bahamas","2016","0","0","0"
"Bahrain","2016","0","0","0"
"Bangladesh","2016","106","87","62"
"Barbados","2016","0","0","0"
"Belarus","2016","0","0","0"
"Belgium","2016","1","0","0"
"Belize","2016","0","0","0"
"Benin","2016","38","25","13"
"Bhutan","2016","0","0","0"
"Bolivia (Plurinational State of)","2016","9","7","5"
"Bosnia and Herzegovina","2016","0","0","0"
"Botswana","2016","2","2","1"
"Brazil","2016","45","40","23"
"Brunei Darussalam","2016","0","0","0"
"Bulgaria","2016","1","0","0"
"Burkina Faso","2016","60","38","19"
"Burundi","2016","31","21","11"
"Cabo Verde","2016","0","0","0"
"Cambodia","2016","11","10","6"
"Cameroon","2016","66","44","20"
"Canada","2016","2","2","1"
"Central African Republic","2016","20","14","7"
"Chad","2016","77","46","22"
"Chile","2016","2","2","1"
"China","2016","168","144","86"
"Colombia","2016","11","10","6"
"Comoros","2016","2","1","1"
"Congo","2016","9","7","4"
"Cook Islands","2016","0","0","0"
"Costa Rica","2016","1","1","0"
"C̫te d'Ivoire","2016","78","57","32"
"Croatia","2016","0","0","0"
"Cuba","2016","1","1","0"
"Cyprus","2016","0","0","0"
"Czechia","2016","0","0","0"
"Democratic People's Republic of Korea","2016","7","5","4"
"Democratic Republic of the Congo","2016","304","235","96"
"Denmark","2016","0","0","0"
"Djibouti","2016","1","1","1"
"Dominica","2016","0","0","0"
"Dominican Republic","2016","7","5","4"
"Ecuador","2016","7","6","4"
"Egypt","2016","57","49","32"
"El Salvador","2016","2","2","1"
"Equatorial Guinea","2016","4","3","1"
"Eritrea","2016","7","5","3"
"Estonia","2016","0","0","0"
"Ethiopia","2016","187","132","90"
"Fiji","2016","0","0","0"
"Finland","2016","0","0","0"
"France","2016","3","2","2"
"Gabon","2016","3","2","1"
"Gambia","2016","5","3","2"
"Georgia","2016","1","1","0"
"Germany","2016","3","2","2"
"Ghana","2016","51","36","24"
"Greece","2016","0","0","0"
"Grenada","2016","0","0","0"
"Guatemala","2016","12","10","6"
"Guinea","2016","39","26","11"
"Guinea-Bissau","2016","6","4","3"
"Guyana","2016","1","0","0"
"Haiti","2016","17","13","6"
"Honduras","2016","4","3","2"
"Hungary","2016","0","0","0"
"Iceland","2016","0","0","0"
"India","2016","1100","867","640"
"Indonesia","2016","131","110","68"
"Iran (Islamic Republic of)","2016","20","17","13"
"Iraq","2016","38","32","22"
"Ireland","2016","0","0","0"
"Israel","2016","1","0","0"
"Italy","2016","2","1","1"
"Jamaica","2016","1","1","1"
"Japan","2016","3","2","1"
"Jordan","2016","4","4","3"
"Kazakhstan","2016","4","4","2"
"Kenya","2016","74","53","34"
"Kiribati","2016","0","0","0"
"Kuwait","2016","1","0","0"
"Kyrgyzstan","2016","3","3","2"
"Lao People's Democratic Republic","2016","10","8","5"
"Latvia","2016","0","0","0"
"Lebanon","2016","1","1","0"
"Lesotho","2016","6","4","2"
"Liberia","2016","10","8","4"
"Libya","2016","2","1","1"
"Lithuania","2016","0","0","0"
"Luxembourg","2016","0","0","0"
"Madagascar","2016","37","28","15"
"Malawi","2016","36","25","15"
"Malaysia","2016","4","4","2"
"Maldives","2016","0","0","0"
"Mali","2016","82","51","27"
"Malta","2016","0","0","0"
"Marshall Islands","2016","0","0","0"
"Mauritania","2016","12","8","5"
"Mauritius","2016","0","0","0"
"Mexico","2016","34","29","18"
"Micronesia (Federated States of)","2016","0","0","0"
"Monaco","2016","0","0","0"
"Mongolia","2016","1","1","1"
"Montenegro","2016","0","0","0"
"Morocco","2016","19","16","13"
"Mozambique","2016","78","59","30"
"Myanmar","2016","48","38","23"
"Namibia","2016","3","2","1"
"Nauru","2016","0","0","0"
"Nepal","2016","20","16","12"
"Netherlands","2016","1","1","0"
"New Zealand","2016","0","0","0"
"Nicaragua","2016","2","2","1"
"Niger","2016","86","50","26"
"Nigeria","2016","733","476","247"
"Niue","2016","0","0","0"
"Norway","2016","0","0","0"
"Oman","2016","1","1","0"
"Pakistan","2016","424","346","248"
"Palau","2016","0","0","0"
"Panama","2016","1","1","1"
"Papua New Guinea","2016","12","9","5"
"Paraguay","2016","3","2","2"
"Peru","2016","9","7","5"
"Philippines","2016","64","51","30"
"Poland","2016","2","1","1"
"Portugal","2016","0","0","0"
"Qatar","2016","0","0","0"
"Republic of Korea","2016","2","1","1"
"Republic of Moldova","2016","1","1","0"
"Romania","2016","2","1","1"
"Russian Federation","2016","14","12","6"
"Rwanda","2016","14","11","6"
"Saint Kitts and Nevis","2016","0","0","0"
"Saint Lucia","2016","0","0","0"
"Saint Vincent and the Grenadines","2016","0","0","0"
"Samoa","2016","0","0","0"
"San Marino","2016","0","0","0"
"Sao Tome and Principe","2016","0","0","0"
"Saudi Arabia","2016","8","7","4"
"Senegal","2016","25","18","11"
"Serbia","2016","1","0","0"
"Seychelles","2016","0","0","0"
"Sierra Leone","2016","29","21","9"
"Singapore","2016","0","0","0"
"Slovakia","2016","0","0","0"
"Slovenia","2016","0","0","0"
"Solomon Islands","2016","0","0","0"
"Somalia","2016","79","50","24"
"South Africa","2016","51","40","15"
"South Sudan","2016","38","26","17"
"Spain","2016","1","1","1"
"Sri Lanka","2016","3","3","2"
"Sudan","2016","83","58","38"
"Suriname","2016","0","0","0"
"Swaziland","2016","3","2","1"
"Sweden","2016","0","0","0"
"Switzerland","2016","0","0","0"
"Syrian Arab Republic","2016","7","6","4"
"Tajikistan","2016","11","9","5"
"Thailand","2016","9","8","5"
"The former Yugoslav republic of Macedonia","2016","0","0","0"
"Timor-Leste","2016","2","2","1"
"Togo","2016","19","13","7"
"Tonga","2016","0","0","0"
"Trinidad and Tobago","2016","0","0","0"
"Tunisia","2016","3","2","2"
"Turkey","2016","16","14","8"
"Turkmenistan","2016","7","6","3"
"Tuvalu","2016","0","0","0"
"Uganda","2016","90","65","37"
"Ukraine","2016","4","4","3"
"United Arab Emirates","2016","1","1","0"
"United Kingdom of Great Britain and Northern Ireland","2016","3","3","2"
"United Republic of Tanzania","2016","117","84","46"
"United States of America","2016","26","23","15"
"Uruguay","2016","0","0","0"
"Uzbekistan","2016","16","14","9"
"Vanuatu","2016","0","0","0"
"Venezuela (Bolivarian Republic of)","2016","10","8","6"
"Viet Nam","2016","34","27","18"
"Yemen","2016","48","37","23"
"Zambia","2016","39","27","15"
"Zimbabwe","2016","30","21","12"
