,"Measles - number of reported cases"
"Country","2016"
"Afghanistan","638"
"Albania","17"
"Algeria","41"
"Andorra","0"
"Angola","53"
"Antigua and Barbuda","0"
"Argentina","0"
"Armenia","2"
"Australia","99"
"Austria","27"
"Azerbaijan","0"
"Bahamas","0"
"Bahrain","0"
"Bangladesh","972"
"Barbados","0"
"Belarus","10"
"Belgium",""
"Belize","0"
"Benin","89"
"Bhutan","45"
"Bolivia (Plurinational State of)","0"
"Bosnia and Herzegovina","133"
"Botswana","1"
"Brazil","0"
"Brunei Darussalam","1"
"Bulgaria","1"
"Burkina Faso","226"
"Burundi","16"
"Cabo Verde",""
"Cambodia","56"
"Cameroon","338"
"Canada","11"
"Central African Republic","367"
"Chad","118"
"Chile","0"
"China","24820"
"Colombia","0"
"Comoros","0"
"Congo","277"
"Cook Islands",""
"Costa Rica","0"
"C̫te d'Ivoire","45"
"Croatia","4"
"Cuba","0"
"Cyprus","0"
"Czechia","7"
"Democratic People's Republic of Korea","0"
"Democratic Republic of the Congo","5092"
"Denmark","3"
"Djibouti","8"
"Dominica","0"
"Dominican Republic","0"
"Ecuador","1"
"Egypt","222"
"El Salvador","0"
"Equatorial Guinea","1699"
"Eritrea","142"
"Estonia","2"
"Ethiopia","4579"
"Fiji","5"
"Finland","4"
"France","79"
"Gabon","1509"
"Gambia","45"
"Georgia","14"
"Germany","326"
"Ghana","32"
"Greece","0"
"Grenada","0"
"Guatemala","0"
"Guinea","316"
"Guinea-Bissau","0"
"Guyana","0"
"Haiti",""
"Honduras","0"
"Hungary","0"
"Iceland","1"
"India","17250"
"Indonesia","6962"
"Iran (Islamic Republic of)","82"
"Iraq","37"
"Ireland",""
"Israel","8"
"Italy",""
"Jamaica","0"
"Japan","165"
"Jordan","0"
"Kazakhstan","122"
"Kenya","128"
"Kiribati",""
"Kuwait","8"
"Kyrgyzstan","0"
"Lao People's Democratic Republic","8"
"Latvia","0"
"Lebanon","44"
"Lesotho","0"
"Liberia","789"
"Libya","32"
"Lithuania","22"
"Luxembourg","0"
"Madagascar","5"
"Malawi","0"
"Malaysia","1569"
"Maldives","0"
"Mali","107"
"Malta","0"
"Marshall Islands",""
"Mauritania","13"
"Mauritius","0"
"Mexico","0"
"Micronesia (Federated States of)","0"
"Monaco",""
"Mongolia","30273"
"Montenegro","0"
"Morocco",""
"Mozambique",""
"Myanmar","266"
"Namibia","40"
"Nauru","0"
"Nepal","1269"
"Netherlands","6"
"New Zealand","103"
"Nicaragua","0"
"Niger","776"
"Nigeria","17136"
"Niue",""
"Norway","0"
"Oman","111"
"Pakistan","2703"
"Palau","0"
"Panama","0"
"Papua New Guinea","0"
"Paraguay","0"
"Peru","0"
"Philippines","716"
"Poland","123"
"Portugal","0"
"Qatar","30"
"Republic of Korea","18"
"Republic of Moldova","0"
"Romania","2435"
"Russian Federation","178"
"Rwanda","95"
"Saint Kitts and Nevis","0"
"Saint Lucia","0"
"Saint Vincent and the Grenadines","0"
"Samoa",""
"San Marino","0"
"Sao Tome and Principe","0"
"Saudi Arabia","125"
"Senegal","162"
"Serbia","11"
"Seychelles","0"
"Sierra Leone","920"
"Singapore",""
"Slovakia","0"
"Slovenia","1"
"Solomon Islands","0"
"Somalia","26"
"South Africa","18"
"South Sudan","898"
"Spain","37"
"Sri Lanka","112"
"Sudan","1767"
"Suriname",""
"Swaziland","1"
"Sweden","3"
"Switzerland","65"
"Syrian Arab Republic","66"
"Tajikistan","52"
"Thailand","652"
"The former Yugoslav republic of Macedonia","0"
"Timor-Leste","2"
"Togo","15"
"Tonga","0"
"Trinidad and Tobago","0"
"Tunisia","7"
"Turkey","9"
"Turkmenistan","0"
"Tuvalu",""
"Uganda","139"
"Ukraine","102"
"United Arab Emirates","223"
"United Kingdom of Great Britain and Northern Ireland","558"
"United Republic of Tanzania","33"
"United States of America",""
"Uruguay","0"
"Uzbekistan","1"
"Vanuatu",""
"Venezuela (Bolivarian Republic of)","0"
"Viet Nam","46"
"Yemen","143"
"Zambia","8"
"Zimbabwe","1"
