,"Number of suspected meningitis deaths reported"
"Country","2014"
"Algeria",""
"Angola",""
"Benin","88"
"Botswana",""
"Burkina Faso","353"
"Burundi",""
"Cabo Verde",""
"Cameroon","60"
"Central African Republic","41"
"Chad","22"
"Comoros",""
"Congo",""
"C̫te d'Ivoire","25"
"Democratic Republic of the Congo","994"
"Djibouti",""
"Egypt",""
"Equatorial Guinea",""
"Eritrea",""
"Ethiopia","52"
"Gabon",""
"Gambia","38"
"Ghana","17"
"Guinea","55"
"Guinea-Bissau",""
"Kenya",""
"Lesotho",""
"Liberia",""
"Madagascar",""
"Malawi",""
"Mali","4"
"Mauritania","0"
"Mauritius",""
"Morocco",""
"Mozambique",""
"Namibia",""
"Niger","40"
"Nigeria","81"
"Rwanda",""
"Sao Tome and Principe",""
"Senegal","12"
"Seychelles",""
"Sierra Leone",""
"South Africa",""
"South Sudan","2"
"Sudan","5"
"Swaziland",""
"Togo","14"
"Uganda",""
"United Republic of Tanzania",""
"Zambia",""
"Zimbabwe",""
