,"Rubella - number of reported cases"
"Country","2016"
"Afghanistan","42"
"Albania","2"
"Algeria","13"
"Andorra","0"
"Angola","12"
"Antigua and Barbuda","0"
"Argentina","0"
"Armenia","0"
"Australia","17"
"Austria","3"
"Azerbaijan","0"
"Bahamas","0"
"Bahrain","0"
"Bangladesh","165"
"Barbados","0"
"Belarus","0"
"Belgium","1"
"Belize","0"
"Benin","3"
"Bhutan","3"
"Bolivia (Plurinational State of)","0"
"Bosnia and Herzegovina","16"
"Botswana","25"
"Brazil","0"
"Brunei Darussalam","0"
"Bulgaria","2"
"Burkina Faso","1"
"Burundi","29"
"Cabo Verde",""
"Cambodia","4"
"Cameroon","13"
"Canada","1"
"Central African Republic","38"
"Chad","24"
"Chile","0"
"China","4535"
"Colombia","0"
"Comoros","0"
"Congo","1"
"Cook Islands",""
"Costa Rica","0"
"C̫te d'Ivoire","192"
"Croatia","2"
"Cuba","0"
"Cyprus","0"
"Czechia","0"
"Democratic People's Republic of Korea","0"
"Democratic Republic of the Congo","204"
"Denmark","0"
"Djibouti","4"
"Dominica","0"
"Dominican Republic","0"
"Ecuador","0"
"Egypt","28"
"El Salvador","0"
"Equatorial Guinea","79"
"Eritrea","113"
"Estonia","0"
"Ethiopia","184"
"Fiji","1"
"Finland","0"
"Gabon","3"
"Gambia","4"
"Georgia","11"
"Germany","95"
"Ghana","11"
"Greece","0"
"Grenada","0"
"Guatemala","0"
"Guinea","289"
"Guinea-Bissau","0"
"Guyana","0"
"Haiti",""
"Honduras","0"
"Hungary","0"
"Iceland","0"
"India","8274"
"Indonesia","1238"
"Iran (Islamic Republic of)","18"
"Iraq","1"
"Ireland",""
"Israel","1"
"Italy",""
"Jamaica","0"
"Japan","126"
"Jordan","0"
"Kazakhstan","4"
"Kenya","331"
"Kiribati",""
"Kuwait",""
"Kyrgyzstan","3"
"Lao People's Democratic Republic","40"
"Latvia","0"
"Lebanon","10"
"Lesotho","11"
"Liberia","0"
"Libya","0"
"Lithuania","0"
"Luxembourg","0"
"Madagascar","204"
"Malawi","33"
"Malaysia","68"
"Maldives","0"
"Mali","81"
"Malta","0"
"Marshall Islands",""
"Mauritania","0"
"Mauritius","0"
"Mexico","0"
"Micronesia (Federated States of)","0"
"Monaco",""
"Mongolia","48"
"Montenegro","0"
"Morocco",""
"Mozambique",""
"Myanmar","10"
"Namibia","37"
"Nauru",""
"Nepal","656"
"Netherlands","0"
"New Zealand","3"
"Nicaragua","0"
"Niger","24"
"Nigeria","503"
"Niue",""
"Norway","0"
"Oman","6"
"Pakistan","648"
"Palau","0"
"Panama","0"
"Papua New Guinea","1"
"Paraguay","0"
"Peru","0"
"Philippines","179"
"Poland","1105"
"Portugal","7"
"Qatar","20"
"Republic of Korea","11"
"Republic of Moldova","0"
"Romania","13"
"Russian Federation","38"
"Rwanda","15"
"Saint Kitts and Nevis","0"
"Saint Lucia","0"
"Saint Vincent and the Grenadines","0"
"Samoa",""
"San Marino","0"
"Sao Tome and Principe","0"
"Saudi Arabia",""
"Senegal","135"
"Serbia","5"
"Seychelles","0"
"Sierra Leone","97"
"Singapore",""
"Slovakia","0"
"Slovenia","0"
"Solomon Islands",""
"Somalia",""
"South Africa","819"
"South Sudan",""
"Spain","2"
"Sri Lanka","0"
"Sudan","996"
"Suriname",""
"Swaziland","4"
"Sweden","0"
"Switzerland","0"
"Syrian Arab Republic","1"
"Tajikistan","2"
"Thailand","7"
"The former Yugoslav republic of Macedonia",""
"Timor-Leste","8"
"Togo","276"
"Tonga","0"
"Trinidad and Tobago","0"
"Tunisia","19"
"Turkey","7"
"Turkmenistan","0"
"Tuvalu",""
"Uganda","289"
"Ukraine","150"
"United Arab Emirates","132"
"United Kingdom of Great Britain and Northern Ireland","2"
"United Republic of Tanzania","24"
"United States of America",""
"Uruguay","0"
"Uzbekistan","0"
"Vanuatu",""
"Venezuela (Bolivarian Republic of)","0"
"Viet Nam","413"
"Yemen","56"
"Zambia","34"
"Zimbabwe","2"
